M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C
11.5561,2496.48,11.4513,2496.66,10.2356,2496.69,8.94813,2496.61,7.81296,2496.62,6.68422,2496.6,5.718,2496.61,4.79022,2496.59,3.94595,2496.56,3.14601,2497.12,2.78023,2496.98,2.44834,2496.75
11.5558,2496.03,11.4553,2496.07,10.2414,2496.11,8.94873,2496.03,7.8196,2496.04,6.68258,2496.05,5.71905,2496.04,4.79024,2496.03,3.9452,2495.99,3.14655,2496.53,2.78049,2496.35,2.44624,2496.15
11.5533,2494.9,11.4537,2494.92,10.2419,2494.95,8.94788,2494.87,7.82113,2494.89,6.68104,2494.9,5.71877,2494.89,4.78963,2494.87,3.94458,2494.84,3.14539,2495.38,2.78035,2495.19,2.44576,2494.99
11.5528,2493.73,11.4489,2493.74,10.2406,2493.78,8.94643,2493.69,7.82123,2493.7,6.68234,2493.71,5.71725,2493.7,4.78981,2493.69,3.94286,2493.65,3.14508,2494.19,2.7798,2494,2.44511,2493.8
11.5522,2492.57,11.4431,2492.57,10.2368,2492.59,8.94563,2492.5,7.82073,2492.52,6.68155,2492.54,5.71625,2492.51,4.78518,2492.5,3.94095,2492.47,3.14419,2493.01,2.7791,2492.81,2.44438,2492.61
11.5521,2491.37,11.4411,2491.35,10.2353,2491.38,8.94384,2491.3,7.81935,2491.32,6.68038,2491.32,5.71454,2491.3,4.78384,2491.27,3.9394,2491.24,3.1429,2491.79,2.7783,2491.59,2.44314,2491.4
11.5524,2490.18,11.4393,2490.17,10.2347,2490.18,8.9427,2490.11,7.81876,2490.11,6.67985,2490.12,5.71302,2490.1,4.78588,2490.08,3.937,2490.05,3.14145,2490.59,2.77713,2490.41,2.44278,2490.2
11.5527,2488.97,11.4374,2488.94,10.2335,2488.93,8.94115,2488.88,7.81926,2488.88,6.67818,2488.89,5.71137,2488.85,4.78584,2488.87,3.93453,2488.82,3.14084,2489.34,2.77629,2489.16,2.44231,2488.97
11.5537,2487.76,11.4354,2487.74,10.2322,2487.71,8.93998,2487.66,7.81709,2487.66,6.67729,2487.67,5.70947,2487.65,4.78453,2487.63,3.93253,2487.6,3.13987,2488.13,2.77655,2487.94,2.4417,2487.75
11.5519,2486.53,11.4354,2486.51,10.2321,2486.47,8.93853,2486.43,7.81539,2486.42,6.67635,2486.43,5.70719,2486.4,4.78385,2486.39,3.93148,2486.36,3.13831,2486.89,2.77602,2486.71,2.44078,2486.51
11.5486,2485.31,11.4345,2485.3,10.2308,2485.23,8.93708,2485.19,7.81539,2485.18,6.67556,2485.21,5.70529,2485.17,4.78359,2485.17,3.93057,2485.14,3.13698,2485.67,2.7744,2485.48,2.43923,2485.28
11.5455,2484.07,11.4318,2484.04,10.2291,2483.99,8.9345,2483.96,7.8158,2483.95,6.67277,2483.97,5.70404,2483.93,4.78276,2483.93,3.92908,2483.91,3.13544,2484.43,2.7732,2484.24,2.43719,2484.04
11.5424,2482.83,11.4285,2482.82,10.2278,2482.75,8.9329,2482.73,7.81459,2482.71,6.67065,2482.72,5.70282,2482.69,4.78113,2482.7,3.92791,2482.66,3.13489,2483.19,2.77069,2483,2.43642,2482.81
