M20C,B20C,M25C,B25C,M30C,B30C,M35C,B35C,M40C,B40C,M45C,B45C,M50C,B50C,M55C,B55C,M60C,B60C,M65C,B65C,M70C,B70C,M75C,B75C,M80C,B80C,M85C,B85C,M90C,B90C,M95C,B95C,M100C,B100C,M105C,B105C,M110C,B110C,M115C,B115C,M120C,B120C,M125C,B125C,M130C,B130C,M135C,B135C
18.2282,2496.64,18.1154,2496.74,17.9464,2496.64,17.6755,2496.68,16.7563,2496.61,15.9617,2496.63,14.8885,2496.63,13.6543,2496.58,12.5657,2496.61,10.9673,2496.99,9.5202,2496.79,9.03835,2496.68,7.89147,2496.61,6.7089,2496.69,5.34694,2496.62,4.80899,2496.61,4.09428,2496.59,3.42445,2496.56,2.88278,2496.53,2.47144,2496.53,2.1282,2496.56,1.79364,2496.55,1.56856,2496.51,1.36556,2496.54
18.2287,2496.07,18.1183,2496.13,17.9468,2496.09,17.6762,2496.06,16.7564,2496.03,15.9607,2496.06,14.887,2496.02,13.6535,2496.02,12.5651,2496.02,10.9818,2496.38,9.52339,2496.18,9.04159,2496.09,7.89021,2496.05,6.70921,2496.06,5.34714,2496.06,4.80784,2496.04,4.09436,2496.04,3.42468,2496.02,2.88194,2496,2.47091,2495.97,2.12868,2495.97,1.79346,2495.98,1.5679,2495.97,1.36508,2495.98
18.2294,2494.9,18.118,2494.97,17.9476,2494.94,17.6764,2494.89,16.7559,2494.89,15.9607,2494.89,14.8856,2494.85,13.6525,2494.86,12.5641,2494.85,10.9881,2495.22,9.52294,2495.02,9.03944,2494.92,7.88846,2494.89,6.70956,2494.91,5.34622,2494.88,4.80693,2494.89,4.09346,2494.86,3.42361,2494.85,2.88173,2494.83,2.46985,2494.83,2.12854,2494.81,1.7929,2494.84,1.56745,2494.81,1.36376,2494.82
18.2296,2493.71,18.1175,2493.78,17.947,2493.76,17.6772,2493.7,16.7549,2493.7,15.9598,2493.71,14.8877,2493.68,13.6513,2493.68,12.5671,2493.68,10.9867,2494.04,9.52199,2493.84,9.03729,2493.76,7.88734,2493.71,6.70843,2493.72,5.3457,2493.71,4.80558,2493.73,4.09197,2493.7,3.42289,2493.68,2.88151,2493.65,2.46916,2493.64,2.12862,2493.64,1.79235,2493.67,1.5671,2493.63,1.36229,2493.64
18.2312,2492.51,18.1172,2492.59,17.9461,2492.59,17.6779,2492.5,16.7552,2492.51,15.9595,2492.51,14.8858,2492.51,13.6501,2492.48,12.566,2492.49,10.9838,2492.83,9.5202,2492.65,9.03588,2492.56,7.88597,2492.51,6.7065,2492.53,5.34534,2492.51,4.80332,2492.54,4.09094,2492.49,3.42235,2492.5,2.88072,2492.46,2.46826,2492.46,2.12747,2492.45,1.79165,2492.46,1.56632,2492.44,1.36223,2492.46
18.232,2491.3,18.117,2491.37,17.9456,2491.38,17.6778,2491.28,16.7581,2491.31,15.9601,2491.3,14.8816,2491.28,13.6512,2491.27,12.5642,2491.27,10.9806,2491.63,9.51936,2491.44,9.03421,2491.34,7.88469,2491.29,6.70518,2491.32,5.34278,2491.31,4.80141,2491.34,4.08938,2491.28,3.42088,2491.27,2.87987,2491.24,2.46739,2491.24,2.12625,2491.23,1.79061,2491.26,1.5639,2491.22,1.36261,2491.25
18.2317,2490.12,18.1159,2490.17,17.9459,2490.18,17.6775,2490.08,16.7572,2490.13,15.9579,2490.1,14.8789,2490.07,13.6489,2490.08,12.5636,2490.07,10.977,2490.44,9.51839,2490.24,9.03329,2490.13,7.88258,2490.1,6.7041,2490.12,5.34163,2490.1,4.80032,2490.12,4.08837,2490.1,3.41972,2490.08,2.87884,2490.06,2.4662,2490.04,2.12507,2490.05,1.78975,2490.05,1.56288,2490.02,1.36228,2490.06
18.2312,2488.88,18.1135,2488.92,17.9456,2488.94,17.6768,2488.86,16.7539,2488.9,15.9556,2488.87,14.8789,2488.84,13.6458,2488.84,12.5629,2488.85,10.9742,2489.19,9.51696,2489,9.03109,2488.91,7.88065,2488.86,6.70192,2488.89,5.341,2488.88,4.79935,2488.89,4.08731,2488.85,3.41899,2488.84,2.87784,2488.83,2.46453,2488.81,2.12372,2488.82,1.78908,2488.83,1.56137,2488.8,1.36128,2488.81
18.2308,2487.67,18.1122,2487.7,17.9459,2487.72,17.6767,2487.64,16.7516,2487.69,15.9536,2487.66,14.8821,2487.62,13.6458,2487.62,12.564,2487.61,10.9719,2487.98,9.51521,2487.78,9.03005,2487.69,7.87903,2487.67,6.69977,2487.67,5.3391,2487.65,4.7973,2487.68,4.08585,2487.63,3.4177,2487.62,2.87675,2487.6,2.46273,2487.59,2.12264,2487.6,1.78696,2487.59,1.55967,2487.58,1.3608,2487.6
18.2302,2486.42,18.1115,2486.47,17.946,2486.5,17.6759,2486.41,16.75,2486.45,15.9539,2486.42,14.8824,2486.39,13.6465,2486.38,12.5631,2486.4,10.9698,2486.75,9.51316,2486.54,9.02829,2486.44,7.87731,2486.43,6.69839,2486.42,5.33735,2486.42,4.79561,2486.44,4.0847,2486.39,3.41581,2486.39,2.87541,2486.37,2.4623,2486.36,2.12145,2486.36,1.78612,2486.37,1.5584,2486.34,1.3601,2486.37
